playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
thomair01,1938,BBWAA,262,197,1,N,Player,10,0
willicy01,1938,BBWAA,262,197,1,N,Player,19,0
zimmech01,1938,BBWAA,262,197,1,N,Player,20,0
cartwal99,1938,Centennial,,,,Y,Pioneer/Executive,0,0
chadwhe99,1938,Centennial,,,,Y,Pioneer/Executive,0,0
sislege01,1939,BBWAA,274,206,235,Y,Player,16,7
collied01,1939,BBWAA,274,206,213,Y,Player,25,0
keelewi01,1939,BBWAA,274,206,207,Y,Player,20,0
wadderu01,1939,BBWAA,274,206,179,N,Player,14,14
hornsro01,1939,BBWAA,274,206,176,N,Player,24,0
chancfr01,1939,BBWAA,274,206,158,N,Player,17,0
delahed01,1939,BBWAA,274,206,145,N,Player,16,0
walshed01,1939,BBWAA,274,206,132,N,Player,14,14
eversjo01,1939,BBWAA,274,206,107,N,Player,19,0
huggimi01,1939,BBWAA,274,206,97,N,Manager,13,0
maranra01,1939,BBWAA,274,206,82,N,Player,23,0
colliji01,1939,BBWAA,274,206,72,N,Player,16,0
bresnro01,1939,BBWAA,274,206,67,N,Player,18,3
clarkfr01,1939,BBWAA,274,206,59,N,Player,21,0
brownmo01,1939,BBWAA,274,206,54,N,Player,15,15
robinwi01,1939,BBWAA,274,206,46,N,Manager,18,0
bendech01,1939,BBWAA,274,206,40,N,Player,16,16
pennohe01,1939,BBWAA,274,206,40,N,Player,23,23
schalra01,1939,BBWAA,274,206,35,N,Player,18,0
duffyhu01,1939,BBWAA,274,206,34,N,Player,17,0
youngro01,1939,BBWAA,274,206,34,N,Player,10,0
jennihu01,1939,BBWAA,274,206,33,N,Player,20,0
mcginjo01,1939,BBWAA,274,206,32,N,Player,11,11
bakerfr01,1939,BBWAA,274,206,30,N,Player,13,0
cochrmi01,1939,BBWAA,274,206,28,N,Player,13,0
jossad01,1939,BBWAA,274,206,28,N,Player,9,9
planked01,1939,BBWAA,274,206,28,N,Player,17,17
friscfr01,1939,BBWAA,274,206,26,N,Player,19,0
